Company name, Address, Telephone, Fax, email
HUNG LAM JOINT STOCK COMPANY - HUNG LAM JSC                    , 606/31 Tran Hung Dao Street Binh Khanh Ward Long Xuyen An Giang Vietnam., +84.296 3727666 | 6267999, +84.296 3957603, info@hunglamrice.com.vn
TV FOOD COMPANY LIMITED - TVFOOD CO. LTD                    , Nhon Hoa Hamlet Nhon My Commune Cho Moi District An Giang Vietnam., +84.28 38661797, +84.28 38661796, info@tvfood.com.vn
VINH PHAT WILMAR RICE LIMITED CO.                    , Binh Duc Hamlet Binh Duc Ward Long Xuyen An Giang Vietnam., +84.296 3958650, +84.296 3958651, lytran@vinhphat.com    
Bac Lieu Food Company                    , 166 Vo Thi Sau Street Ward 8 Bac Lieu Town Bac Lieu Province Vietnam., +84.291 3822550 - 3824531, +84.291 3822544, baclieufood@vnn.vn
THINH PHAT FOODSTUFFS COMPANY LIMITED - THINH PHAT FOODSTUFFS LTD.                    , Hamlet 7 An Khanh Commune Chau Thanh District Ben Tre Vietnam., +84.275 3613052, +84.275 3612901, giaphattg@yahoo.com
BEN TRE FOOD COMPANY - BENTREFOOD                    , 199D2 Area 4 Ward 7 Ben Tre City Ben Tre Province Vietnam., +84.275 3822174, +84.275 3825980, ctyluongthucbentre@yahoo.com.vn
CA MAU AGRICULTURAL PRODUCTS & FOODSTUFF IMPORT-EXPORT JOINT STOCK COMPANY - AGRIMEXCO                    , 969 Ly Thuong Kiet St. Ward 6 Ca Mau City Ca Mau Province Vietnam., +84.290 3560229, +84.290 3560325, xnknstp@vnn.vn
HIEP TAI COMPANY LIMITED - HIEP TAI CO. LTD                    ,NaN, +84.292 3851049, +84.292 3852030, vunguyenlx87@gmail.com
Gentraco Corporation - GENTRACO                    , 121 Nguyen Thai Hoc Street Thotnot Ward Thotnot District Can Tho City Vietnam., +84.292 3851246, +84.292 3852118, info@gentraco.com.vn
SOHAFARM                    , Hamlet 1 Thoi Hung Commune Co Do District Can Tho City Vietnam., +84.292 3690201 - 3690204, +84.292 3690200, nongtruongsonghau1979@gmail.com
CODO AGRICULTURE LIMITED LIABILITY COMPANY – COAGRICO.LTD.COMPANY                    , Hamlet 1 Thanh Phu Commune Co Do District Can Tho City Vietnam., +84.292 3865503, +84.292 3865503, congtynncodo@gmail.com
Song Hau Food Company - SOHAFOOD                    , Plot 18 Tra Noc Industrial Zone Tra Noc Ward Binh Thuy District Can Tho City Vietnam., +84.292 3841418, +84.292 3841300, sohafood@songhaufood.com.vn
MEKONG JOINT STOCK COMPANY - MKC                    , 120 Ly Tu Trong Street Ninh Kieu District Can Tho City Vietnam., +84.292 3833341, +84.292 3731978, mekongcantho92@gmail.com
CAN THO AGRICULTURAL PRODUCTS AND FOODSTUFF EXPORT COMPANY - MEKONIMEX/NS                    , 152 - 154 Tran Hung Dao Street An Nghiep Ward Ninh Kieu District Can Tho City Vietnam., +84.292 3835543 | 3832059, +84.710 3832060, mekonimex.ns-ct@vnn.vn
Techno-Agricultural Supplying Joint Stock Company - TSC                    , 1D Pham Ngu Lao Street Ninh Kieu District Can Tho City Vietnam., +84.292 3825848, +84.292 3825844, tsc@hcm.vnn.vn
Trung An Hi-Tech Farming Joint Stock Company - Trung An Hi-Tech Farming JSC                    , 649A Highway 91 Qui Thanh 1 Area Trung Kien Ward Thot Not District Can Tho Vietnam., +84.292 3857336, +84.292 3857199, sales@trunganrice.com
AGRICAM - Vinacam Agrifood Joint Stock Company                    , No. 700 Highway 91 Thoi Thanh Area Thoi Thuan Ward Thot Not Dist. Can Tho City Vietnam., +84.292 6512222, +84.292 3612877, agricam@agricam.com.vn
Hiep Thanh Joint Stock Company - HIEPTHANH CO. LTD.                    , Highway 91 Thoi Thanh Hamlet Thoi Thuan Commune Thot Not District Can Tho City Vietnam., +84.292 3506771, +84.292 3852888, hiepthanh.thotnot@hcm.vnn.vn  | ninijaits73@gmail.com
GOLD FIELD CORPORATION - GOLD FIELD CORP.                    , Bac Vang Area Thoi Long Ward O Mon District Can Tho City Vietnam., +84.292 35193169, +84.292 35193171, goldfield-corp@vnn.vn
HOANG MINH NHAT CO. STOCK                    , Thoi Khanh Village Tan Thanh Commune Thoi Lai District Can Tho City Vietnam., +84.292 2215562, +84.292 3681119, ctcphoangminhnhat@yahoo.com.vn  | hmn@hmnfoodco.com
Hiep Loi Joint Stock Company                    , 116 Mau Than Street An Nghiep Ward Ninh Kieu District Can Tho City Vietnam., +84.292 6277775, +84.292 3734826, export@hieploifood.com.vn  | accunting@hieploifood.com.vn
THANH LOI COOPERATIVE - THANHLOI COOP                    , Thoi Nguon B Area Phuoc Thoi Ward O Mon District Can Tho City Vietnam., +84.292 3659999, +84.292 3753477, htxthanhloi@tlcoop.vn
VIET THANH FOOD PROCESSING AND TRADING JOINT STOCK COMPANY - VIETTHANH JSC                    , 116B Mau Than Street An Nghiep Ward Ninh Kieu District Can Tho City Vietnam., +84.292 6277776, +84.292 3734826, accounting@hieploifood.com.vn
VIET RICE FOOD LIMITED COMPANY - VIETRICE                    , National Road 91 Long Thanh 2 Area Thot Not Ward Thot Not District Can Tho City Vietnam., +84.292 3612225, +84.292 3852388,     
TAN THANH TRADE LIMITED COMPANY*                    , 3165 Thanh An Town Vinh Thanh District Can Tho City Vietnam., +84.292 3856988, +84.292 3856008, tanthanhpes@gmail.com
TRUNG THANH PRIVATE ENTERPRISE                    , Thanh Phuoc 1 Area Thanh Hoa Ward Thot Not District Can Tho City Vietnam., +84.7103 857218, +84.7103 656182, trungthanhricemills@gmail.com
SOHARICE - SHR                    , Hamlet Thoi Thuan B Thoi Lai Town District Thoi Lai Can Tho Vietnam, +84.292 3690234 | 2215192, +84.292 3690600, soharice@gmail.com
CAN THO FOOD COMPANY                    , Highway 91 Thoi An Area of 3 Thuan An Ward Thot Not District Can Tho City Vietnam., +84.292 3612886, +84.292 3612887, cantho_food@yahoo.com.vn  | mquan7qt1@gmail.com
THANG LOI FOOD PROCESSING EXPORT IMPORT JOINT STOCK COMPANY                    , Thanh Phuoc 1 Area Thanh Hoa Ward Thot Not District Can Tho Vietnam., +84.292 3857399, +84.2923851260, loanthangloi2@gmail.com
Dong Thap Trading Corporation - DOCIMEXCO                    , 89 Nguyen Hue Street Ward 1 Cao Lanh City Dong Thap Province Vietnam., +84.277 3855356, +84.277 3851250, docimexco@docimexco.com
Dong Thap Food Company - DAGRIMEX                    , 531 National Road 30 My Tan Ward Cao Lanh City Dong Thap Province Vietnam., +84.277 3852206, +84.277 3852999, dagrimex@dagrimex.vn
Phuong Thanh Export Import Limited                    , National Road 80 Thanh Phu Hamlet Tan Binh Commune Chau Thanh District Dong Thap Province Vietnam., +84.277 3626999, +84.277 3626262, ctytnhh.phuongthanh@gmail.com
Phat Tai Company Limited - PHAT TAI CO. LTD.                    , 69 National Road  80 Binh Phu Quoi Hamlet Lap Vo Commune Lap Vo District Dong Thap Province Vietnam., +84.277 3845203, +84.277 3845206, cty_tnhh_phattai@yahoo.com
HAPPY PROSPEROUS JOINT STOCK COMPANY                    , An Hoa Hamlet Dinh An Commune Lap Vo District Dong Thap Vietnam., +84. 1669898888, +84.277 3665599, cpdinh@happros.com
Quang Trung Trading Service Company Limited                    , 14 Tan Lap Tan Quy Tay Commune Sa Dec Town Dong Thap Province Vietnam., +84.277 3764233 | 3764234, +84.277 3763232, quangtrungcrice.co@gmail.com
LAND PEARL FOOD LIMITED COMPANY - LAND PEARL                    , An Hoa Hamlet Dinh An Commune Lap Vo District Dong Thap Vietnam., +84.277 3666199, +84.277 3666299, info@landpearl.com
CO MAY CO. LTD*                    , No. 186 National Road 80 Thanh Phu Hamlet Tan Binh Commune Chau Thanh District Dong Thap Vietnam., +84.277 3861135, +84.277 3863777, comayrice@gmail.com
CAM NGUYEN RICE TRADING AND PROCESSING LIMITED COMPANY                    , Truong Xuan Industrial Area Hamlet 4 Truong Xuan Commune Thap Muoi District Dong Thap Province Vietnam., +84.277 3955868, +84.277 3955668 , nhamaihuynh.2008@gmail.com
ORIENT RICE CO. LTD - ORICO                    , Tan Loc Hamlet Tan Duong Commune Lai Vung District Dong Thap Vietnam., +84.277 3653357, +84.277 3653358, anhnguyen@orico.vn
THANH LONG TRADING LIMITED. CO                    , No. 57 An Thuan My Anh Hung B Lap Vo District Dong Thap Vietnam., +84. 277 3764656, +84. 277 3765656, thanhlong@yahoo.com
KHANG HUNG SERVICE TRADE CONSTRUCTION ON MEMBER LIMITED LIABILITY COMPANY                    , 724B Hamlet Phu Loi District Chau Thanh A Hau Giang Vietnam, +84.293 3953224, +84.293 3952035, khanghung71@gmail.com
Kien Giang Trade Joint Stock Company - KTC                    , 190 Tran Phu Street Rach Gia City Kien Giang Province Vietnam., +84.297 3860794 - 3862113, +84.297 3872316, ktc@ktcvn.com.vn
Kien Giang Agro-Forestry Product Joint Stock Company - KIGIFAC                    , 01 Ngo Thoi Nhiem Street An Binh Rach Gia City Kien Giang Province Vietnam., +84.297 3916983 - 3864159, +84.297 3914299 - 3910692, info@kigifac.com.vn
Kien Giang Import And Export Company Limited - KIGIMEX                    , 85-87 Lac Hong St. Vinh Lac Ward Rach Gia City Kien Giang Province Vietnam., +84.297 3863491, +84.297 3862309, kigimex@hcm.vnn.vn
Thuan Phat Food Company Limited - TUPACO                    , My Phu Hamlet Soc Son Town Hon Dat District Kien Giang Province Vietnam., +84.297 3692239 - 3962139, +84.297 3960039, info@tupaco.com.vn
Kien Giang Agriculture Product Trading Joint Stock Company - KIGITRACO                    , 12 Ly Tu Trong St. Rach Gia Town Kien Giang Province Vietnam., +84.297 3962280 - 3962266, +84.297 3962292, kigitraco@kigitraco.com.vn
KIEN GIANG TRADING & SERVICE JSC - KTS                    , Lot D1 No. 03-04 Lac Hong Street Vinh Lac Ward Kien Giang City Vietnam., +81.297 3943481, +84.297 3943483, ktsvn.vnn@gmail.com
Long An Food Company - LONGANFOOD CO.                    , 10 Cu Luyen Street Ward 5 Tan An Town Long An Province Vietnam., +84.272 3821990 - 3823254 - 3820279, +84.272 3826566 - 3827587, kd1@longanfood.com.vn
Mechanics Construction and Foodstuff Joint Stock Company - MECOFOOD                    , 29 Nguyen Thi Bay St. Ward 6 Tan An City Long An Province Vietnam., +84.272 3521212 - 3829405 - 3820509, +84.272 3521252 - 3820509, info@mecofood.com.vn  | hungmcf@mecofood.com.vn
Tan Dong Tien Joint Stock Company                    , 1056 National Road 1A Quyet Thang 1 Quarter Ward Khanh Hau Tan An City Long An Province Vietnam., +84.272 3826722, +84.272 3825919, tandongtien@tandongtienrice.com  | sales-tdt@tandongtienrice.com
Vinh Thinh Phat Co. Ltd. - VITHIPHA CO. LTD.                    , Hamlet 2 My An Commune Thu Thua District Long An Vietnam., +84.272 3599930, +84.272 3599090, vithipha56@gmail.com  | www.vithipha.com
Thinh Phat Co. LTD                    , 18A Ward A Truong Cong Dinh Str. Thu Thua Town Long An Province Vietnam., +84.272 3612009, +84.272 3612019, pkd.thinhphat@gmail.com
Phuong Quan Co. Ltd                    , Long Dinh Industrial Zone Long Dinh Commune Can Duoc District Long An Province Vietnam., +84.272 3632222, +84.272 3635678, tranvanquan@phuongquan.com
DUONG VU CO.                    , Binh Cang II Hamlet Binh Thanh Commune Thu Thua District Long An Vietnam., +84.272 3613582, +84.272 3613303, laduongvu@gmail.com
KHANH TAM COMPANY LIMITED (KHANH TAM CO.LTD)                    , 152/4 Binh Luong Hamlet Binh Thanh Commune Thu Thua District Long An Vietnam., +84.272 3864312, +84.272 3613585, khanhtamcompany@gmail.com
THANH PHAT LIMITED COMPANY                    , Hamlet 4 Commune Binh Tam Tan An City Long An Vietnam., +84.272 3599977, +84.272 3599977, thanhphatlaco@gmail.com
INDIVIDUAL BUSINESS CONG THANH UT HANH.                    , 919 National Road 1 Thu Tuu 2 Quarter Tan Khanh Ward Tan An City Long An Vietnam., +84.272 3511512, +84.272 3513279, hanh.tran@congthanhuthanh.com
LONG AN FOODSTUFF COMPANY LIMITED (LAFOODSTUFF)                    , 237 Nguyen An Ninh Street Ward 3 Tan An City Long An Province Vietnam., +84.272 3826444, +84.272 3821719, sales@longanfoodstuff.com
MEKONG PEARL CORPORATION - MK PEARL CORP                    , 543 National Road 62 Ward 2 Kien Tuong Commune Moc Hoa District Long An Province Vietnam., +84.272 3958886, +84.272 3958887, hoangtuan@mekongpearl.com.vn
VIET THANH COMPANY LIMITED                    , No. 49 Natioanal Road 62 Cau Tre Hamlet Binh Loi Nhon Commune Tan An Long An Vietnam., +84.272 3826564, +84.272 3525107, vietthanh590@gmail.com
ITA-RICE                    , Plot 28-30-32-34 An Ha Street Tan Duc Industrial Zone Commune Duc Hoa Ha Duc Hoa District Long An Vietnam., +84.272 3769203 - 3769202, +84.272 3769201, duong.tran@tantaorice.com  | dzung.nguyen@tantaorice.com
PHUOC THANH II COMPANY LIMITED - PHUOC THANH II CO. LTD                    , 969 Ly Thuong Kiet St. Tan Khanh Ward Tan An City Long An Vietnam., +84.272 3511320, +84.272 3511380, phuocthanh2ricecompany@gmail.com
SS CORP. LTD*                    , Hamlet 1 Nhut Chanh Village Ben Luc District Long An Vietnam., +84.272 3871393 - 3871090, +84.272 3871122 - 3871394, thanhtung200400@gmail.com  | www.sscorp.vn
Soc Trang Food Company - SOCTRANG FOOD                    , 76 Le Duan St. Ward 3 Soc Trang City Soc Trang Province Vietnam., +84.299 3832318, +84.299 3832319, luongthucst@vnn.vn
Thanh Tin Trading & Service Limited Company                    , 383 Bach Dang St. Ward 6 Soc Trang City Soc Trang Province Vietnam., +84.299 3621226, +84.299 3621227, thanhtinrice@gmail.com
TIPHANO CO. LTD                    , 235 Nguyen Hue Street Ward 1 Soc Trang City Soc Trang Vietnam., +84.299 3883883, +84.299 3895895, tiphanorice@gmail
TAY NINH SUGAR CORPORATION - TANISUGAR                    , 19 Vo Thi Sau Street Ward 3 Tay Ninh City Tay Ninh Vietnam., +84.276 6250340, +84.276 6250363, tanisugar@tanisugar.vn
Tien Giang Food Company - TIGIFOOD                    , 256 Ward 10 My Tho City Tien Giang Province Vietnam., +84.273 3855604, +84.273 3855789, tgfood@hcm.vnn.vn
VIET HUNG CO. LTD                    , Cau Xeo Area Hau Thanh Village Cai Be District Tien Giang Vietnam., +84.273 3819528, +84.273 3819069, viethungfood@gmail.com  | info@viethungfood.com.vn
Individual Business Phuoc Thanh 2                    , Long Loi Hamlet Long Hung Commune Chau Thanh District Tien Giang Viet Nam., +84.273 3633639, +84.273 3633679, phuocthanh2@gmail.com
Thanh Hong Trading - Service Company                    , An Thai Hamlet Cai Be Dist. Tien Giang Province Vietnam., +84.273 3722529, +84.273 3722528, cty.thanhhong.tg@gmail.com
Phuoc Dat Company Limited                    , Tan Thuan Hamlet Binh Duc Commune Chau Thanh Dist. Tien Giang Province Vietnam., +84.273 3853053, +84.273 3853591, phuocdat2@yahoo.com.vn
Song Thuan Company Limited - Song Thuan Co. Ltd.                    , Dong Hoa Hamlet Song Thuan Commune Chau Thanh Dist Tien Giang Province Vietnam, +84.273 3610778, +84.273 3601787,     
Tien Giang Food and Agricutural Products Company - TIGIFACO                    , Binh Hamlet Hoa Hung Commune Cai Be District Tien Giang Vietnam., +84.273 6260667 - 6260655, +84.273 6260660, vanphong@tigifaco.com.vn
MY TUONG CORPORATION – MTC                    , Dong Hoa Hamlet Song Thuan Commune Chau Thanh District Tien Giang Province Vietnam., +84.273 3833686, +84.273 3610630, thanhtam@mytuong.com.vn
TAI LOC KHANG THINH PHAT CO. LTD - TLKTP CO. LTD                    , Hamlet 6 Phu An Commune Cai Lay District Tien Giang Province Vietnam., +84.273 3816025, +84.273 3773605, tailockhangthinhphat@tlktp.com
VietNam Southern Food Corporation  (VINAFOOD 2)                    , 333 Tran Hung Dao Street Cau Kho Ward District 1 HCMC Vietnam., +84.28 38370025 | 38370026 | 38370027 | 38370028 | 38370029, +84.28 38365898 | 38365899, vanphong@vsfc.com.vn  | sales@vsfc.com.vn
Food Company of Ho Chi Minh City Ltd - FOODCOSA                    , 1610 Vo Van Kiet Street Ward 7 District 6 Ho Chi Minh City Vietnam., +84.28 39672060 | 39672056, +84.28 39672022, info@foodcosa.vn
Vinh Phat Investment Corporation - VPIC                    , Room 608 Building Hoang Anh Gia Lai 7/1 Thanh Thai Ward 14 District 10 Ho Chi Minh City Vietnam., +84.28 38651379, +84.28 38650670, trung@vinhphat.com  | lytran@vinhphat.com
Sai Gon Agriculture Incorporation - S.A.I                    , 189 Dien Bien Phu St. Ward 15 Binh Thanh Dist. Ho Chi Minh City Vietnam., +84.28 38035401, +84.28 38035403, contact@sagri.com.vn
Saigon Logistics Trading Joint Stock Company - SALOG JSC                    , 265 Dien Bien Phu St. Ward 7 Dist. 3 Ho Chi Minh City Vietnam., +84.28 39307520, +84.28 39307051, sjfood.kd@gmail.com
Dong Thap Muoi Import - Export Joint Stock Company - GEDOSICO                    , 54 Bis Nguyen Dinh Chieu St. Dakao Ward Dist. 1 Ho Chi Minh City Vietnam., +84.28 39101270, +84.28 38290593, gedosico@hcm.vnn.vn
Phu An Trading & Service Joint Stock Company - FUAN JSC                    , 179D Hai Ba Trung St. Ward 6 Dist. 3 Ho Chi Minh City Vietnam., +84.28 62741483, +84.28 38220358, fuan@hcm.vnn.vn
Saigon Trading Group - SATRA                    , 275B Pham Ngu Lao St. Pham Ngu Lao Ward Dist. 1 Ho Chi Minh City Vietnam., +84.28 38375903, +84.28 38375902, contact@satra.com.vn
Saigon Sundries Investment & Trading Joint Stock Company - TOCONTAP SAIGON JSC                    , 35 Le Quy Don St. Ward 7 Dist. 3 Ho Chi Minh City Vietnam., +84.28 39325687, +84.28 39325963, tocontapsaigon@hcm.vnn.vn
Tan Thanh An Company Limited - TAN THANH AN CO. LTD.                    , 73 Vuon Chuoi Street Ward 4 District 3 Ho Chi Minh City Vietnam., +84.28 38342264, +84.28 38343549, info@tanthanhanco.vn
Phan Minh Investment Production Trading Services Co. Ltd.                    , 300 Khuong Viet Street Phu Trung Ward Tan Phu District HCM City Vietnam., +84.28 38616881, +84.28 38618822, pmvnrice@gmail.com
THUAN MINH IMPORT EXPORT CORPORATION                    , 76 Tran Minh Quyen Street Ward 11 District 10 HCM City Vietnam., +84.28 38339537, +84.28 38339536, info@thuanminh.com.vn
Hanoi General Service Export Import Stock Company                    , V4 Floot 5 Khanh Hoi 2 360A Ben Van Don Street Ward 1 District 4 HCM City Vietnam.., +84.28 39453001 | 39453009, +84.28 39453011 | 39453012, info@haprosimexjsc.com
Gia International Corporation - GIA INTERNATIONAL CORP                    , 177/24 3/2 Street Ward 11 District 10 HCM City Vietnam., +84.28 38304984, +84.28 38304983, info@giaic.com
Thao Minh Chau Production - Trading Co. Ltd.                    , Floot 2 Phan Minh Building 300 Khuong Viet Street Phu Trung Ward Tan Phu District HCM City Vietnam., +84.28 38616874, +84.28 38616876, pmvnrice@gmail.com    
BLUE OCEAN IM-EXPORT CO. LTD                    , 106 Lot A Van Hanh Area Su Van Hanh Street Ward 9 District 5 HCM City Vietnam., +84.28 62663838, +84.28 62663737, bill@lotusgroup.vn
INTIMEX GROUP JOINT STOCK COMPANY - INTIMEX GROUP                    , 61 Nguyen Van Giai Street Da Kao Ward District 1 HCMC Vietnam., +84.28 38201998, +84.28 38201997, intimexhcm@intimexhcm.com
TIN THUONG INVESTMENT TRADING JOINT STOCK COMPANY (TTIN CO. LTD)                    , No. 14 Street 25 Binh Phu Area Ward 10 District 6 HCMC Vietnam., +84.28 38485222, +84.28 62900808, tinthuong@unitrade.vn
LOUIS RICE IMPORT EXPORT CO. LTD                    , 678 Kinh Duong Vuong Block 1 An Lac Ward Binh Tan District HCMC Vietnam, +84.28 8599599, +84.28 88699699, info@louisrice.vn
MINH TAM RICE COMPANY LTD*                    , 45 Street No. 8 Binh Hung Area Hamlet 2 Binh Hung Commune Binh Chanh District HCMC Vietnam., +84.28 37583879, +84.28 37583878, info.gaominhtam@gmail.com
SAIGON PLANT PROTECTION JOINT STOCK COMPANY*                    , Quarter 1 Nguyen Van Quy Street Tan Thuan Dong Ward District 7 HCMC Vietnam., +84.28 38733666, +84.28 38733391, huyhoang@spchcm.com.vn
SAIGON NEWPORT CORPORATION*                    , 722 Dien Bien Phu Street Ward 22 Binh Thanh District HCMC Vietnam., +84.28 37073979, +84.28 37425350, marketing.snp@saigonnewport.com.vn
FCC Control and Fumigation Joint Stock Company*                    , 45 Dinh Tien Hoang St. Dist. 1 HCM City Vietnam., +84.28 38223183, +84.28 38290202 | 39103070, fcc@fcc.com.vn
Asia Commercial Bank - ACB*                    , 442 Nguyen Thi Minh Khai Street Ward 5 District 3 Ho Chi Minh City Vietnam., +84.28 39290999, +84.28 38181632, maintn.hso@acb.com.vn
Tra Vinh Food Company - IMEXTRAVINH                    , 102 Tran Phu St. Ward 2 Tra Vinh Town Tra Vinh Province Vietnam., +84.294 3867014, +84.294 3862778, imextravinh@vnn.vn
Vinh Long Food Company - VINHLONG FOOD                    , 38 2/9 Street Ward 1 Vinh Long City Vinh Long Province Vietnam., +84.270 3822512, +84.270 3823 773, vinhlongfood@hcm.vnn.vn
Hong Trang Trading Joint Stock Company - HONG TRANG JSC                    , 77A Hung Vuong Ward 1 Vinh Long City Vinh Long Province Vietnnam., +84.270 3821330, +84.270 3836900, info@hongtrangfood.vn
